time,accel
0,0.00
20,0.00
40,0.29
60,0.20
80,0.20
100,0.19
120,0.27
140,0.23
160,0.15
180,0.22
200,0.13
220,0.16
240,0.20
260,0.18
280,0.21
300,0.29
320,0.36
340,0.25
360,0.21
380,0.22
400,0.18
420,0.20
440,0.27
460,0.32
480,0.23
500,0.30
520,0.42
540,0.51
560,0.70
580,0.60
600,0.69
620,0.86
640,0.75
660,0.60
680,0.36
700,0.67
720,0.46
740,1.08
760,1.42
780,1.37
800,0.95
820,0.60
840,0.42
860,1.21
880,1.74
900,2.60
920,2.17
940,1.99
960,1.01
980,0.79
1000,0.51
1020,0.72
1040,1.09
1060,1.42
1080,1.66
1100,1.69
1120,1.45
1140,0.78
1160,0.51
1180,0.59
1200,1.01
1220,1.84
1240,2.73
1260,2.44
1280,1.80
1300,1.47
1320,0.93
1340,0.60
1360,0.61
1380,0.94
1400,1.32
1420,1.92
1440,1.88
1460,1.39
1480,1.08
1500,0.89
1520,1.61
1540,2.30
1560,3.67
1580,3.48
1600,2.34
1620,1.39
1640,1.28
1660,1.08
1680,1.11
1700,1.33
1720,1.95
1740,1.97
1760,1.73
1780,1.48
1800,1.28
1820,1.05
1840,1.06
1860,1.28
1880,1.90
1900,2.27
1920,2.57
1940,2.54
1960,2.49
1980,2.08
2000,0.90
2020,0.65
2040,0.85
2060,1.12
2080,1.47
2100,1.64
2120,1.66
2140,1.50
2160,1.47
2180,1.17
2200,0.87
2220,0.85
2240,1.07
2260,1.29
2280,2.47
2300,3.94
2320,2.10
2340,1.76
2360,1.23
2380,0.71
2400,0.69
2420,0.90
2440,1.09
2460,1.27
2480,1.44
2500,1.21
2520,0.92
2540,0.73
2560,0.55
2580,0.67
2600,0.88
2620,0.67
2640,0.49
2660,0.45
2680,0.45
2700,0.54
2720,0.25
2740,0.20
2760,0.22
2780,0.99
2800,1.36
2820,6.41
2840,2.98
2860,3.81
2880,3.56
2900,1.26
2920,1.01
2940,0.41
2960,0.89
2980,0.80
3000,0.16
3020,0.43
3040,0.54
3060,0.58
3080,0.60
3100,0.59
3120,0.54
3140,0.49
3160,0.46
3180,0.48
3200,0.49
3220,0.54
3240,0.51
3260,0.48
3280,0.53
3300,0.50
3320,0.52
3340,0.51
3360,0.50
3380,0.50
3400,0.50
3420,0.52
3440,0.50
3460,0.49
3480,0.51
3500,0.51
3520,0.51
3540,0.50
3560,0.51
3580,0.51
3600,0.51
3620,0.51
3640,0.50
3660,0.51
3680,0.51
3700,0.51
3720,0.51
3740,0.51
3760,0.51
3780,0.51
3800,0.50
3820,0.50
3840,0.50
3860,0.51
3880,0.51
3900,0.50
3920,0.51
3940,0.50
3960,0.50
3980,0.50
4000,0.51
4020,0.50
4040,0.50
4060,0.51
4080,0.50
4100,0.51
4120,0.51
4140,0.50
4160,0.51
4180,0.51
4200,0.51
4220,0.51
4240,0.51
4260,0.50
4280,0.50
4300,0.50
4320,0.51
4340,0.51
4360,0.51
4380,0.51
4400,0.51
4420,0.50
4440,0.50
4460,0.50
4480,0.50
4500,0.51
4520,0.51
4540,0.51
4560,0.51
4580,0.50
4600,0.50
4620,0.50
4640,0.50
4660,0.51
4680,0.51
4700,0.51
4720,0.51
4740,0.51
4760,0.50
4780,0.51
4800,0.51
4820,0.51
4840,0.50
4860,0.51
4880,0.51
4900,0.50
4920,0.50
4940,0.50
4960,0.51
4980,0.50
5000,0.51
5020,0.50
5040,0.50
5060,0.50
5080,0.51
5100,0.51
5120,0.51
5140,0.51
5160,0.50
5180,0.50
5200,0.51
