time,accel
0,0.00
20,0.00
40,0.00
60,0.00
80,0.00
100,0.00
120,0.00
140,0.00
160,0.00
180,0.00
200,0.00
220,0.00
240,0.00
260,0.00
280,0.00
300,0.00
320,0.00
340,0.00
360,0.00
380,0.00
400,0.00
420,0.00
440,0.00
460,0.00
480,0.00
500,0.00
520,0.00
540,0.00
560,0.00
580,0.00
600,0.00
620,0.00
640,0.00
660,0.00
680,0.00
700,0.00
720,0.00
740,0.00
760,0.00
780,0.00
800,0.00
820,0.00
840,0.00
860,0.00
880,0.00
900,0.00
920,0.00
940,0.00
960,0.00
980,0.00
1000,0.00
1020,0.00
1040,0.00
1060,0.00
1080,0.00
1100,0.00
1120,0.00
1140,0.00
1160,0.00
1180,0.00
1200,0.00
1220,0.00
1240,0.00
1260,0.00
1280,0.00
1300,0.00
1320,0.00
1340,0.00
1360,0.00
1380,0.00
1400,0.00
1420,0.00
1440,0.00
1460,0.00
1480,0.00
1500,0.00
1520,0.00
1540,0.00
1560,0.00
1580,0.00
1600,0.00
1620,0.00
1640,0.00
1660,0.00
1680,0.00
1700,0.00
1720,0.00
1740,0.00
1760,0.00
1780,0.00
1800,0.00
1820,0.00
1840,0.00
1860,0.00
1880,0.00
1900,0.00
1920,0.00
1940,0.00
1960,0.00
1980,0.00
2000,0.00
2020,0.00
2040,0.00
2060,0.00
2080,0.00
2100,0.00
2120,0.00
2140,0.00
2160,0.00
2180,0.00
2200,0.00
2220,0.00
2240,0.00
2260,0.00
2280,0.00
2300,0.00
2320,0.00
2340,0.00
2360,0.00
2380,0.00
2400,0.00
2420,0.00
2440,0.00
2460,0.00
2480,0.00
2500,0.00
2520,0.00
2540,0.00
2560,0.01
2580,0.00
2600,0.00
2620,0.01
2640,0.01
2660,0.00
2680,0.01
2700,0.01
2720,0.01
2740,0.00
2760,0.00
2780,3.43
2800,1.59
2820,1.44
2840,0.82
2860,0.69
2880,0.72
2900,0.79
2920,0.75
2940,0.63
2960,0.74
2980,0.69
3000,0.61
3020,0.60
3040,0.62
3060,2.24
3080,2.38
3100,0.51
3120,0.53
3140,0.55
3160,0.52
3180,0.52
3200,0.55
3220,0.52
3240,1.22
3260,0.43
3280,0.44
3300,0.64
3320,0.55
3340,0.49
3360,0.49
3380,0.41
3400,0.29
3420,0.46
3440,0.59
3460,1.13
3480,0.70
3500,0.35
3520,0.19
3540,0.14
3560,0.31
3580,0.16
3600,1.10
3620,0.32
3640,0.14
3660,0.13
3680,0.08
3700,0.06
3720,0.12
3740,0.11
3760,0.08
3780,0.05
3800,0.05
3820,0.10
3840,0.09
3860,0.11
3880,0.08
3900,0.04
3920,0.04
3940,0.06
3960,0.06
3980,0.06
4000,0.04
4020,0.06
4040,0.07
4060,0.06
4080,0.04
4100,0.02
4120,0.01
4140,0.06
4160,0.04
4180,0.05
4200,0.05
4220,0.05
4240,0.05
4260,0.09
4280,0.07
4300,0.05
4320,0.02
4340,0.05
4360,0.07
4380,0.06
4400,0.05
4420,0.03
4440,0.02
4460,0.04
4480,0.04
4500,0.02
4520,0.02
4540,0.03
4560,0.04
4580,0.03
4600,0.02
4620,0.01
4640,0.01
4660,0.01
4680,0.02
4700,0.03
4720,0.02
4740,0.01
4760,0.02
4780,0.02
4800,0.02
4820,0.02
4840,0.02
4860,0.02
4880,0.02
4900,0.02
4920,0.02
4940,0.01
4960,0.01
4980,0.01
5000,0.01
5020,0.02
5040,0.02
5060,0.02
5080,0.01
5100,0.01
5120,0.01
5140,0.03
5160,0.03
5180,0.03
5200,0.01
5220,0.01
5240,0.01
5260,0.02
5280,0.03
5300,0.02
5320,0.03
5340,0.03
5360,0.01
5380,0.02
5400,0.02
5420,0.02
5440,0.03
5460,0.03
5480,0.09
5500,0.07
5520,0.07
5540,0.08
5560,0.05
5580,0.03
5600,0.04
5620,0.04
5640,0.04
5660,0.04
5680,0.05
5700,0.03
5720,0.01
5740,0.02
5760,0.01
5780,0.02
5800,0.02
5820,0.03
5840,0.04
5860,0.03
